date,description,category,amount
2026-04-01,Rent for April,Rent,1200.00
2026-04-03,Electricity Bill,Utilities,85.50
2026-04-06,Groceries at Market,Food,62.30
2026-04-07,Coffee with friend,Food,5.00
2026-04-08,Uber to office,Travel,12.75
2026-04-09,Movie night,Entertainment,14.00
2026-04-11,Online course,Education,99.00
2026-04-12,Pharmacy,Health,23.20
2026-04-13,Lunch with team,Food,18.40
2026-04-15,Books purchase,Shopping,45.99
2026-04-18,Flight booking,Travel,220.00
2026-04-20,Insurance premium payment,Misc,350.00
