market,sku,competitor_brand,listing_title,price_local,currency,notes
UK,HH-EK100,Russell Hobbs,Russell Hobbs 1.7L Electric Kettle,29.99,GBP,"Top seller; 3000+ ratings; Prime eligible"
UK,HH-EK100,Breville,Breville Bold Kettle 1.7L,34.99,GBP,"Stylish design; 4 colors"
UK,HH-MF200,Nespresso,Aeroccino 3 Milk Frother,54.99,GBP,"Premium brand; bundle with pods"
UK,HH-MF200,Hotel Chocolat,Velvetiser Milk Frother,99.95,GBP,"High-end positioning; gift appeal"
Germany,HH-EK100,Bosch,Bosch Water Kettle 1.7L,29.99,EUR,"Value leader; strong brand"
Germany,HH-EK100,WMF,WMF Stelio Kettle 1.7L,44.99,EUR,"Stainless steel premium; CE marked"
Germany,HH-MF200,Severin,Severin SM 9688 Milk Frother,39.99,EUR,"Popular mid-range; WEEE compliant"
Germany,HH-MF200,Clatronic,Clatronic MS 3653 Frother,24.99,EUR,"Budget-friendly; basic features"
France,HH-EK100,Moulinex,Moulinex Subito Kettle 1.7L,34.99,EUR,"French brand; wide retail presence"
France,HH-EK100,Tefal,Tefal Express Kettle 1.7L,39.99,EUR,"Trusted brand; CE marked"
France,HH-MF200,Severin,Severin Milk Frother 500W,44.99,EUR,"Mid-range; positive reviews"
France,HH-MF200,Bodum,Bodum Bistro Milk Frother,39.95,EUR,"Design-oriented; glass look"
Canada,HH-EK100,Hamilton Beach,Hamilton Beach 1.7L Kettle,49.99,CAD,"Value segment; widely available"
Canada,HH-EK100,Black+Decker,Black+Decker Rapid Boil Kettle,54.99,CAD,"Mid-range; fast boil claim"
Canada,HH-MF200,Chefman,Chefman Electric Milk Frother,49.99,CAD,"Popular mid-range; Prime eligible"
Canada,HH-MF200,Nespresso,Aeroccino 3 Milk Frother,99.99,CAD,"Premium; brand halo"
Japan,HH-EK100,Zojirushi,Zojirushi Electric Kettle 1.2L,5980,JPY,"Household favorite; compact size"
Japan,HH-EK100,Tiger,Tiger Electric Kettle 1.0L,5480,JPY,"Well-known brand; PSE compliant"
Japan,HH-MF200,Nespresso,Aeroccino 3 Milk Frother,9980,JPY,"Premium; coffee bundle appeal"
Japan,HH-MF200,Dretec,Dretec Milk Frother 100V,3280,JPY,"Value option; compact footprint"
