id,prompt,topic,nominal_difficulty,type
qb001,Name one archaeological culture associated with early settlements on Estonian territory.,Prehistoric and Medieval Estonia,2,Short Answer
qb002,Which order established the Livonian branch that played a role in the Northern Crusades?,Prehistoric and Medieval Estonia,3,MCQ
qb003,In which century was the Danish sale of northern Estonia to the Teutonic Order finalized?,Prehistoric and Medieval Estonia,3,MCQ
qb004,List one administrative reform introduced under Swedish rule that affected Estonian peasants.,Swedish and Russian Empires in Estonia,3,Short Answer
qb005,The Great Northern War concluded in 1721. Which empire gained control over Estonia?,Swedish and Russian Empires in Estonia,2,MCQ
qb006,Define "Russification" in the context of the late 19th-century Baltics.,Swedish and Russian Empires in Estonia,2,Short Answer
qb007,Which manifesto declared Estonian independence in 1918?,National Awakening and 1918 Independence,3,MCQ
qb008,Name one leading figure of the Estonian national awakening.,National Awakening and 1918 Independence,4,Short Answer
qb009,What was the primary purpose of the Estonian War of Independence (1918–1920)?,National Awakening and 1918 Independence,2,MCQ
qb010,Identify one major constitutional change in Estonia during the 1930s.,Interwar Republic (1918–1940),3,Short Answer
qb011,Which leader established an authoritarian regime in Estonia in 1934?,Interwar Republic (1918–1940),3,MCQ
qb012,What sector saw notable modernization in interwar Estonia?,Interwar Republic (1918–1940),2,Short Answer
qb013,Under which pact did Estonia fall into the Soviet sphere in 1939?,Soviet and Nazi Occupations (1940–1991),2,MCQ
qb014,Name one policy associated with Sovietization after 1944.,Soviet and Nazi Occupations (1940–1991),3,Short Answer
qb015,Which event in 1941 led to German occupation of Estonia?,Soviet and Nazi Occupations (1940–1991),3,MCQ
