type,value,note
domain," Example.COM ","Suspicious domain from logs"
domain,example.com,"Same domain duplicate formatting"
domain,internal.corp.local,"Internal domain flagged in proxy egress"
ip," 185.220.101.4 ","Seen scanning perimeter (possible Tor exit)"
ip,185.220.101.4,"Duplicate IP, separate log source"
email,"User@LinkedIn.com ","Employee reported phish attempt"
email,user@linkedin.com,"Duplicate casing/whitespace of same email"
email,alerts@EXAMPLE.com,"Service notifications suspected to be spoofed"
url,"http://malicious.example.com:80/login?session=abc#top","Phishing login path observed"
url,"https://malicious.example.com/#frag","Same host, different scheme with fragment"
url,https://malicious.example.com/,"Variant with trailing slash"
url,"HTTPS://login.paypaI-secure.com:443/signin/?ref=mail","Possible brand impersonation (payments)"
password_sha1,5baa61e4c9b93f3f0682250b6cf8331b7ee68fd8,"Known test hash for 'password'"
password_sha1,5BAA61E4C9B93F3F0682250B6CF8331B7EE68FD8,"Duplicate uppercase of same SHA1"
password_prefix,5baa6,"k-Anonymity prefix for 'password' hash"
password_prefix,5BAA6,"Duplicate uppercase of same prefix"
url,http://example.com:80,"Default port variant"
url,http://EXAMPLE.com/,"Duplicate host with trailing slash"
